序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,经济学,西藏大学,青年基金项目,西藏畜牧业保险政策优化研究,侯仲凯,2017
2,法学,西藏大学,青年基金项目,依法治藏背景下西藏司法文明状况研究,阴赵丹,2017
3,法学,西藏大学,青年基金项目,依法治藏进程中藏族传统法律文化的传承与扬弃,苏雪菁,2017
4,民族学与文化学,西藏大学,青年基金项目,西藏旅游发展与当地藏族女性参与问题研究——基于社会性别的视角,董瑞霞,2017
5,图书馆、情报与文献学,西藏民族大学,规划基金项目,全媒体视阈下西藏大学生媒介与信息素养教育研究,张淼,2017
6,教育学,西藏藏医学院,规划基金项目,藏医药高等教育实践教学现状调查与发展对策研究,顿珠次仁,2017
7,教育学,西藏大学,规划基金项目,西藏流动人口随迁子女义务教育状况调查研究,周军,2017
