序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,科研诚信和学风建设,宁波大学,专项任务项目,高校大学生科研诚信评价的实证分析及机制构建,方晓春,2014
2,科研诚信和学风建设,湘潭大学,专项任务项目,“课题制”科研管理模式研究,杨端光,2014
3,科研诚信和学风建设,浙江财经大学,专项任务项目,社科类合作署名成果学术不端行为的认定及其治理研究,邵慰,2014
4,科研诚信和学风建设,东北师范大学,专项任务项目,高校哲学社会科学研究评价的实践探索研究,白冰,2014
