序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
36,高校示范马克思主义学院和优秀教学科研团队建设项目,上海对外经贸大学,重点选题,思想政治理论课选修课程建设的理论与实践研究,祁明,2017
37,高校示范马克思主义学院和优秀教学科研团队建设项目,深圳大学,重点选题,思想政治理论课教学改革研究,刘洪一,2017
38,高校示范马克思主义学院和优秀教学科研团队建设项目,首都师范大学,重点选题,习近平总书记治国理政新理念新思想新战略“三进”有效机制研究,李松林,2017
39,高校示范马克思主义学院和优秀教学科研团队建设项目,天津大学,重点选题,思想政治理论课教学改革研究,孙兰英,2017
40,高校示范马克思主义学院和优秀教学科研团队建设项目,温州大学,重点选题,思想政治理论课教学管理研究,牟德刚,2017
41,高校示范马克思主义学院和优秀教学科研团队建设项目,武昌职业学院,重点选题,民办高校、独立学院与中外合作办学高校思想政治理论课建设研究,梅传声,2017
42,高校示范马克思主义学院和优秀教学科研团队建设项目,武汉科技大学,重点选题,习近平总书记系列重要讲话精神和治国理政新理念新思想新战略进思想政治理论课有效机制研究,唐忠义,2017
43,高校示范马克思主义学院和优秀教学科研团队建设项目,西安交通大学,重点选题,思想政治理论课兼职教师队伍建设研究,苏玉波,2017
44,高校示范马克思主义学院和优秀教学科研团队建设项目,西北大学,重点选题,思想政治理论课教学借鉴其他学科研究成果研究,杨洪,2017
45,高校示范马克思主义学院和优秀教学科研团队建设项目,西藏民族大学,重点选题,思想政治理论课课堂状况研究,王彦智,2017
46,高校示范马克思主义学院和优秀教学科研团队建设项目,西南大学,重点选题,思想政治理论课教学改革研究,安春元,2017
47,高校示范马克思主义学院和优秀教学科研团队建设项目,新疆农业职业技术学院,重点选题,职业院校思想政治理论课实践教学研究,王学利,2017
48,高校示范马克思主义学院和优秀教学科研团队建设项目,长春工业大学,重点选题,高校思想政治课理论课课堂状况研究,孟雷,2017
49,高校示范马克思主义学院和优秀教学科研团队建设项目,浙江工商大学,重点选题,增强大学生对思想政治理论课的获得感研究,陈寿灿,2017
50,高校示范马克思主义学院和优秀教学科研团队建设项目,中国石油大学（北京）,重点选题,增强大学生对思想政治理论课的获得感研究,方凤玲,2017
51,高校示范马克思主义学院和优秀教学科研团队建设项目,安徽大学,一般选题,马克思主义视域中的习近平人类命运共同体思想研究,陈以定,2017
52,高校示范马克思主义学院和优秀教学科研团队建设项目,北京联合大学,一般选题,“基础”课教育教学中“思想道德”与“法治”有机融合研究,薛剑符,2017
53,高校示范马克思主义学院和优秀教学科研团队建设项目,成都纺织高等专科学校,一般选题,慕课背景下高职院校“基础”课模块化专题式教学改革研究,李光胜,2017
54,高校示范马克思主义学院和优秀教学科研团队建设项目,重庆工商大学,一般选题,习近平总书记系列重要讲话精神融入《马克思主义基本原理概论》课程教学研究,刘富胜,2017
55,高校示范马克思主义学院和优秀教学科研团队建设项目,东北师范大学,一般选题,新的历史时期大学生人生观新变化新特点及其教育研究,胡晓红,2017
56,高校示范马克思主义学院和优秀教学科研团队建设项目,福建师范大学,一般选题,“形势与政策”课模块化教学改革,苏剑,2017
57,高校示范马克思主义学院和优秀教学科研团队建设项目,广东海洋大学,一般选题,五四时期中国先进分子选择马克思主义的国际与时代背景,王爱云,2017
58,高校示范马克思主义学院和优秀教学科研团队建设项目,广东科学技术职业学院,一般选题,改革开放以来大学生政治价值观变迁研究,李红梅,2017
59,高校示范马克思主义学院和优秀教学科研团队建设项目,广东轻工职业技术学院,一般选题,思政课实践教学促进高职大学生政治认同的实现路径,李宽松,2017
60,高校示范马克思主义学院和优秀教学科研团队建设项目,哈尔滨工业大学,一般选题,形势与政策课教学内容与本科生四门思政课关系研究,巩茹敏,2017
61,高校示范马克思主义学院和优秀教学科研团队建设项目,河北经贸大学,一般选题,如何看待社会主义社会中的产能过剩,于清华,2017
62,高校示范马克思主义学院和优秀教学科研团队建设项目,河北经贸大学,一般选题,中华优秀传统文化融入马克思主义基本原理概论课程教学研究,赵玉娟,2017
63,高校示范马克思主义学院和优秀教学科研团队建设项目,河北师范大学,一般选题,继承与超越：实现中华优秀传统文化与“原理”课教学内容的融合,韩小敬,2017
64,高校示范马克思主义学院和优秀教学科研团队建设项目,河南大学,一般选题,马克思主义整体性视域下形势与政策教学内容与本科生四门思政课关系研究,卜万红,2017
65,高校示范马克思主义学院和优秀教学科研团队建设项目,湖南科技大学,一般选题,习近平共享发展思想研究,张颖,2017
66,高校示范马克思主义学院和优秀教学科研团队建设项目,湖南科技大学,一般选题,从理论自觉到教学自信：习近平以人民为中心发展思想“三进”工作的路径研究,朱湘虹,2017
67,高校示范马克思主义学院和优秀教学科研团队建设项目,华中科技大学,一般选题,新的历史条件下大学生人生观新变化新特点研究,杨金华,2017
68,高校示范马克思主义学院和优秀教学科研团队建设项目,吉林师范大学,一般选题,习近平总书记以人民为中心的发展思想研究,李馨,2017
69,高校示范马克思主义学院和优秀教学科研团队建设项目,吉林医药学院,一般选题,中国共产党选择改革开放的时代背景研究,姜淑兰,2017
70,高校示范马克思主义学院和优秀教学科研团队建设项目,江汉大学,一般选题,中国共产党领导社会主义现代化建设的历史经验研究,李腊生,2017
71,高校示范马克思主义学院和优秀教学科研团队建设项目,江南大学,一般选题,中华优秀传统文化融入“概论”课程教学研究,徐礼红,2017
72,高校示范马克思主义学院和优秀教学科研团队建设项目,江西财经职业学院,一般选题,大数据背景下高职思想政治理论课移动平台构建,熊晓兰,2017
73,高校示范马克思主义学院和优秀教学科研团队建设项目,江西师范大学,一般选题,思政课教学中大学生法治思维培养路径研究,洪萍,2017
74,高校示范马克思主义学院和优秀教学科研团队建设项目,聊城大学,一般选题,中国共产党选择社会主义道路的社会动力与国际背景研究,陈士军,2017
75,高校示范马克思主义学院和优秀教学科研团队建设项目,鲁东大学,一般选题,中华优秀传统文化融入马克思主义基本原理概论课程教学研究,李丽,2017
76,高校示范马克思主义学院和优秀教学科研团队建设项目,闽江学院,一般选题,中华优秀传统文化融入马克思主义基本原理概论课程教学研究,蔡桂珍,2017
77,高校示范马克思主义学院和优秀教学科研团队建设项目,南华大学,一般选题,形势与政策课教学内容与本科生四门思政课的关系研究,高征难,2017
78,高校示范马克思主义学院和优秀教学科研团队建设项目,厦门大学嘉庚学院,一般选题,全面抗战期间美英等国对中日战争走向的舆论观察研究,郭奇林,2017
79,高校示范马克思主义学院和优秀教学科研团队建设项目,厦门理工学院,一般选题,中华优秀传统文化融入马克思主义基本原理概论课程教学研究,王元珍,2017
80,高校示范马克思主义学院和优秀教学科研团队建设项目,山东工商学院,一般选题,乡土资源开发在思想政治理论课教学中的运用研究,邓云,2017
81,高校示范马克思主义学院和优秀教学科研团队建设项目,山东交通学院,一般选题,中国共产党选择社会主义道路的社会动力与国际背景研究,范书林,2017
82,高校示范马克思主义学院和优秀教学科研团队建设项目,上海财经大学,一般选题,“关键在党”命题的历史演变、现实意义与支撑机制研究,曹东勃,2017
83,高校示范马克思主义学院和优秀教学科研团队建设项目,上海健康医学院,一般选题,民主革命时期中国共产党的历史作用研究,曹月柱,2017
84,高校示范马克思主义学院和优秀教学科研团队建设项目,上海立信会计金融学院,一般选题,网络意识形态舆情关切与思想政治理论课教学创新,张润,2017
85,高校示范马克思主义学院和优秀教学科研团队建设项目,上海应用技术大学,一般选题,中华优秀传统文化融入马克思主义基本原理概论课程教学研究,李国娟,2017
86,高校示范马克思主义学院和优秀教学科研团队建设项目,沈阳航空航天大学,一般选题,习近平总书记关于历史问题论述的教学研究,曲洪波,2017
87,高校示范马克思主义学院和优秀教学科研团队建设项目,首都医科大学,一般选题,中华优秀医学传统文化融入医学院校马克思主义基本原理概论课程教学研究,杜长林,2017
88,高校示范马克思主义学院和优秀教学科研团队建设项目,四川美术学院,一般选题,思想政治理论课程内容资源的开发——基于红色经典美术作品融入与运用,陈勇,2017
89,高校示范马克思主义学院和优秀教学科研团队建设项目,四川师范大学,一般选题,“基础”课教育教学中“思想道德”与“法治”有机融合研究,余华,2017
90,高校示范马克思主义学院和优秀教学科研团队建设项目,天津商业大学,一般选题,中国抗日战争若干重大理论问题研究,张凤霞,2017
91,高校示范马克思主义学院和优秀教学科研团队建设项目,天津师范大学,一般选题,中国依宪治国、依宪执政与西方宪政民主的比较研究,王玉灵,2017
92,高校示范马克思主义学院和优秀教学科研团队建设项目,西安工程大学,一般选题,五四时期中国先进分子选择马克思主义的国际和时代背景,闫佼丽,2017
93,高校示范马克思主义学院和优秀教学科研团队建设项目,西安建筑科技大学,一般选题,构建当代中国马克思主义政治经济学话语体系面临的困难与对策研究,李娟娟,2017
94,高校示范马克思主义学院和优秀教学科研团队建设项目,西安理工大学,一般选题,习近平总书记社会公平正义思想研究,陈文林,2017
95,高校示范马克思主义学院和优秀教学科研团队建设项目,西南大学,一般选题,中国共产党人民中心思想及其融入思政课教学研究,唐斌,2017
96,高校示范马克思主义学院和优秀教学科研团队建设项目,长春中医药大学,一般选题,新的历史条件下大学生人生观、价值观新变化新特点研究,张兴海,2017
97,高校示范马克思主义学院和优秀教学科研团队建设项目,中国海洋大学,一般选题,民族认同理论体系融入爱国主义教育教学研究,王付欣,2017
98,高校示范马克思主义学院和优秀教学科研团队建设项目,中国矿业大学,一般选题,“基础”课教学中“道德教育”与“法治教育”有机融合问题研究,曹洪军,2017
99,高校示范马克思主义学院和优秀教学科研团队建设项目,中国青年政治学院,一般选题,中国抗日战争历程研究,秦国伟,2017
100,高校示范马克思主义学院和优秀教学科研团队建设项目,中国石油大学（华东）,一般选题,中华优秀传统文化融入马克思主义基本原理概论课程教学研究,张瑞涛,2017
101,高校示范马克思主义学院和优秀教学科研团队建设项目,北京工业大学,思政课教学方法改革项目择优推广计划,基于移动互联技术的思想政治理论课智慧课堂教学模式改革,沈震,2017
102,高校示范马克思主义学院和优秀教学科研团队建设项目,重庆交通大学,思政课教学方法改革项目择优推广计划,高校思政课实践教学“三环四化”模式创新研究,邱家洪,2017
103,高校示范马克思主义学院和优秀教学科研团队建设项目,东北大学,思政课教学方法改革项目择优推广计划,思想政治理论课经典品读教学方法实践,周莉,2017
104,高校示范马克思主义学院和优秀教学科研团队建设项目,东北林业大学,思政课教学方法改革项目择优推广计划,思想政治理论课“三题”教学方法的研究与实践,刘经纬,2017
105,高校示范马克思主义学院和优秀教学科研团队建设项目,东北师范大学,思政课教学方法改革项目择优推广计划,以增强大学生获得感为核心的“概论”课教学方法体系研究,杨志平,2017
106,高校示范马克思主义学院和优秀教学科研团队建设项目,福建农林大学,思政课教学方法改革项目择优推广计划,思想政治理论课一主三辅模式教学改革研究,李宝艳,2017
107,高校示范马克思主义学院和优秀教学科研团队建设项目,广东金融学院,思政课教学方法改革项目择优推广计划,移动互联嵌入思政课教学实践研究,杨明,2017
108,高校示范马克思主义学院和优秀教学科研团队建设项目,河南科技学院,思政课教学方法改革项目择优推广计划,高校思政课“微社会”实践育人模式与平台建设研究,孙喜英,2017
109,高校示范马克思主义学院和优秀教学科研团队建设项目,湖北大学,思政课教学方法改革项目择优推广计划,思想政治理论课审美嵌入式教学方法研究与实践,周芳,2017
110,高校示范马克思主义学院和优秀教学科研团队建设项目,湖南第一师范学院,思政课教学方法改革项目择优推广计划,社会主义核心价值观艺术化融入思政课教学方法研究,彭小奇,2017
111,高校示范马克思主义学院和优秀教学科研团队建设项目,华中科技大学,思政课教学方法改革项目择优推广计划,“基础”课差异化教学的理论与实践,梁红,2017
112,高校示范马克思主义学院和优秀教学科研团队建设项目,吉林大学,思政课教学方法改革项目择优推广计划,社会主义核心价值观引领“马克思主义基本原理概论”课堂教学的研究与实践,王为全,2017
113,高校示范马克思主义学院和优秀教学科研团队建设项目,江西师范大学,思政课教学方法改革项目择优推广计划,基于红色基因传承“一定二化三结合”的高校思想政治理论课教学方法研究,曹开华,2017
114,高校示范马克思主义学院和优秀教学科研团队建设项目,南京航空航天大学,思政课教学方法改革项目择优推广计划,徐川思政工作法,徐川,2017
115,高校示范马克思主义学院和优秀教学科研团队建设项目,南京林业大学,思政课教学方法改革项目择优推广计划,双主体“问题+”复合教学模式的建构,曹顺仙,2017
116,高校示范马克思主义学院和优秀教学科研团队建设项目,武汉大学,思政课教学方法改革项目择优推广计划,小组合作学习在“基础”课混合式教学中的运用,程凌,2017
117,高校示范马克思主义学院和优秀教学科研团队建设项目,西北农林科技大学,思政课教学方法改革项目择优推广计划,思想政治理论课混合式翻转课堂,邓谨,2017
118,高校示范马克思主义学院和优秀教学科研团队建设项目,西南财经大学,思政课教学方法改革项目择优推广计划,“双循环反哺式”思政课教学方法的改革探索,吴玉平,2017
119,高校示范马克思主义学院和优秀教学科研团队建设项目,中国地质大学（武汉）,思政课教学方法改革项目择优推广计划,思政课“一线二红三实”立体教学模式研究,高翔莲,2017
120,高校示范马克思主义学院和优秀教学科研团队建设项目,中国政法大学,思政课教学方法改革项目择优推广计划,以微课程、翻转课堂构建的混合式教学在《中国近现代史纲要》课程中的应用,张文灿,2017
