序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,高校示范马克思主义学院和优秀教学科研团队建设项目,安徽大学,重点选题,习近平总书记系列重要讲话精神和治国理政新理念新思想新战略进思想政治理论课有效机制研究,李仁群,2017
2,高校示范马克思主义学院和优秀教学科研团队建设项目,安徽师范大学,重点选题,高校形势与政策课的协同建设研究,顾家山,2017
3,高校示范马克思主义学院和优秀教学科研团队建设项目,北京工业大学,重点选题,高校思想政治理论教育传统优势与现代信息技术融合机制研究,沈千帆,2017
4,高校示范马克思主义学院和优秀教学科研团队建设项目,北京航空航天大学,重点选题,大学生思想政治理论素养指标体系建设研究,张维维,2017
5,高校示范马克思主义学院和优秀教学科研团队建设项目,北京林业大学,重点选题,提升思想政治理论课教师教学能力研究,王洪元,2017
6,高校示范马克思主义学院和优秀教学科研团队建设项目,成都理工大学,重点选题,高校形势与政策课的协同建设研究,谭书敏,2017
7,高校示范马克思主义学院和优秀教学科研团队建设项目,重庆文理学院,重点选题,“基础”课贯彻落实《关于进一步把社会主义核心价值观融入法治建设的指导意见》研究,邓多文,2017
8,高校示范马克思主义学院和优秀教学科研团队建设项目,重庆邮电大学,重点选题,高校思想政治理论教育传统优势与现代信息技术融合机制研究,代金平,2017
9,高校示范马克思主义学院和优秀教学科研团队建设项目,大理大学,重点选题,思想政治理论课教学管理研究,李兴华,2017
10,高校示范马克思主义学院和优秀教学科研团队建设项目,大连理工大学,重点选题,习近平总书记系列重要讲话精神和治国理政新理念新思想新战略进思想政治理论课有效机制研究,陈晓晖,2017
11,高校示范马克思主义学院和优秀教学科研团队建设项目,复旦大学,重点选题,习近平总书记系列重要讲话精神和治国理政新理念新思想新战略进思想政治理论课有效机制研究,杜艳华,2017
12,高校示范马克思主义学院和优秀教学科研团队建设项目,广东工程职业技术学院,重点选题,职业院校思想政治理论课实践教学研究,方燕,2017
13,高校示范马克思主义学院和优秀教学科研团队建设项目,广西大学,重点选题,高校形势与政策课的协同建设研究,覃安基,2017
14,高校示范马克思主义学院和优秀教学科研团队建设项目,广州科技职业技术学院,重点选题,民办高校、独立学院与中外合作办学高校思想政治理论课建设研究,谢练高,2017
15,高校示范马克思主义学院和优秀教学科研团队建设项目,广州民航职业技术学院,重点选题,职业院校思想政治理论课实践教学研究,王小卫,2017
16,高校示范马克思主义学院和优秀教学科研团队建设项目,哈尔滨师范大学,重点选题,增强大学生对思想政治理论课的获得感研究,胡菊华,2017
17,高校示范马克思主义学院和优秀教学科研团队建设项目,合肥工业大学,重点选题,思想政治理论课教学体系创新引导大学生做到四个“正确认识”研究,唐莉,2017
18,高校示范马克思主义学院和优秀教学科研团队建设项目,河北经贸大学,重点选题,思想政治理论课教师队伍拔尖人才培养工作研究,董兆伟,2017
19,高校示范马克思主义学院和优秀教学科研团队建设项目,河海大学,重点选题,提升思想政治理论课教师教学能力研究,刘爱莲,2017
20,高校示范马克思主义学院和优秀教学科研团队建设项目,河南财经政法大学,重点选题,思想政治理论课深化“四个自信”研究,于慎鸿,2017
21,高校示范马克思主义学院和优秀教学科研团队建设项目,河南师范大学,重点选题,增强大学生对思想政治理论课的获得感研究,蒋占峰,2017
22,高校示范马克思主义学院和优秀教学科研团队建设项目,湖南大学,重点选题,提升思想政治理论课教师教学能力研究,张君,2017
23,高校示范马克思主义学院和优秀教学科研团队建设项目,湖南科技大学,重点选题,独立学院思想政治理论课建设研究,禹旭才,2017
24,高校示范马克思主义学院和优秀教学科研团队建设项目,华东理工大学,重点选题,高校形势与政策课的协同建设研究,胡保国,2017
25,高校示范马克思主义学院和优秀教学科研团队建设项目,华东师范大学,重点选题,增强大学生对思想政治理论课的获得感研究,龚咏梅,2017
26,高校示范马克思主义学院和优秀教学科研团队建设项目,华中科技大学,重点选题,思想政治理论课教学改革研究,胡艳华,2017
27,高校示范马克思主义学院和优秀教学科研团队建设项目,淮南师范学院,重点选题,提升思想政治理论课教师教学能力研究,吴玉才,2017
28,高校示范马克思主义学院和优秀教学科研团队建设项目,吉林大学,重点选题,思想政治理论课选修课程群建设的理论与实践,贾中海,2017
29,高校示范马克思主义学院和优秀教学科研团队建设项目,江西师范大学,重点选题,高校思想政治理论课教学改革研究,李正兴,2017
30,高校示范马克思主义学院和优秀教学科研团队建设项目,景德镇陶瓷大学,重点选题,“一课一品，重在践行”——思想政治理论课实践教学改革的实施,黄胜辉,2017
31,高校示范马克思主义学院和优秀教学科研团队建设项目,马鞍山师范高等专科学校,重点选题,职业院校思想政治理论课实践教学研究,喻长志,2017
32,高校示范马克思主义学院和优秀教学科研团队建设项目,南开大学,重点选题,思想政治理论课教学体系创新引导大学生做到四个“正确认识”研究,纪亚光,2017
33,高校示范马克思主义学院和优秀教学科研团队建设项目,山东理工大学,重点选题,思想政治理论课特聘教授制度建设研究,李建民,2017
34,高校示范马克思主义学院和优秀教学科研团队建设项目,陕西师范大学,重点选题,思想政治理论课教学体系创新引导大学生做到四个“正确认识”研究,任晓伟,2017
35,高校示范马克思主义学院和优秀教学科研团队建设项目,上海大学,重点选题,高校思想政治理论教育传统优势与现代信息技术融合机制研究,李梁,2017
