序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,教育廉政理论研究,北京科技大学,专项任务项目,高校巡视监督体系创新及运行机制研究,宋伟,2014
2,教育廉政理论研究,江南大学,专项任务项目,基于网络新媒体的高校权力监督体系研究,章兴鸣,2014
3,教育廉政理论研究,三峡大学,专项任务项目,完善国家治理体系对纪检监察的现实要求与路径研究,欧阳庆芳,2014
4,教育廉政理论研究,福建师范大学,专项任务项目,“党的纪检工作三化”与高校纪检工作研究,黄晓辉,2014
5,教育廉政理论研究,中国人民大学,专项任务项目,促进研究生群体学术自律与诚信建设问题研究——以京鄂滇地区高校为例,徐飞,2014
6,教育廉政理论研究,河海大学,专项任务项目,全面深化改革背景下高校反腐败体制机制创新及制度保障研究,沈蓓绯,2014
