序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,教育廉政理论研究,中国政法大学,专项任务项目,高校反腐倡廉建设考核评价指标体系研究,李景华,2013
2,教育廉政理论研究,对外经贸大学,专项任务项目,高校采购管理信息与监督系统研究,杨逢华,2013
3,教育廉政理论研究,浙江大学,专项任务项目,高校院系单位内部结构治理和风险防控研究——以综合型大学为例,周谷平,2013
4,教育廉政理论研究,西南政法大学,专项任务项目,大学章程视域下的高校廉政体系创新研究,王建华,2013
5,教育廉政理论研究,福建农林大学,专项任务项目,高校党员领导干部作风评价体系构建及实证研究,郑逸芳,2013
6,教育廉政理论研究,赣南师范学院,专项任务项目,共产党精神和廉政文化建设研究,田延光,2013
7,教育廉政理论研究,重庆工商大学,专项任务项目,中央教育惠民资金监管体系研究——以中等职业学校学生资助工作为例,郝俊杰,2013
