序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,工程科技人才培养研究,北京化工大学,重点项目,基于法国工程师精英教育下我国化工行业卓越工程人才培养模式的探索,苏海佳,2017
2,工程科技人才培养研究,北京协和医学院,重点项目,“医教协同”：心血管外科专科人才培养模式研究,郑哲,2017
3,工程科技人才培养研究,大连工业大学,重点项目,工程应用导向的食品工程类工程专业学位研究生培养模式改革,朱蓓薇,2017
4,工程科技人才培养研究,东北大学,重点项目,校企合作培养采矿卓越工程师模式研究,邵安林,2017
5,工程科技人才培养研究,湖南农业大学,重点项目,植物生产类人才培养改革实践与政策研究,官春云,2017
6,工程科技人才培养研究,华北电力大学,重点项目,新工科、新理念、新实践——高水平行业特色型大学工程教育改革研究,刘吉臻,2017
7,工程科技人才培养研究,清华大学,重点项目,基于胜任力的工程专业学位研究生培养模式改革,姚强,2017
8,工程科技人才培养研究,上海交通大学,重点项目,面向工程技术人才培养的创新创业教育模式研究,谢友柏,2017
9,工程科技人才培养研究,同济大学,重点项目,面向卓越工程师培养的校企合作教育模式的最佳实践与政策研究——以同济大学为例,张亚雷,2017
10,工程科技人才培养研究,浙江大学,重点项目,我国校企合作教育模式的最佳实践与政策研究,陆国栋,2017
11,工程科技人才培养研究,浙江海洋大学,重点项目,海洋工程科技人才培养体系与培养模式创新研究,潘德炉,2017
12,工程科技人才培养研究,安徽工程大学,一般项目,跨界融合视角下工程技术人才的创新创业教育生态体系构建与实证研究,张春,2017
13,工程科技人才培养研究,北京航空航天大学,一般项目,我国工科大学生国际能力培养体系构建的理论框架及其对策研究,刘扬,2017
14,工程科技人才培养研究,北京航空航天大学,一般项目,我国高校工科教师“以学生为中心”的教学能力现状和发展策略研究,宋中英,2017
15,工程科技人才培养研究,北京建筑大学,一般项目,中、英、美、加高校信息类大学生工程创新创业教育模式研究,谭志,2017
16,工程科技人才培养研究,北京信息科技大学,一般项目,人工智能领域工程技术人才的创新创业教育模式研究,陈雯柏,2017
17,工程科技人才培养研究,滨州学院,一般项目,地方高校校企合作培养民航飞行员机制研究与实践,杜玉杰,2017
18,工程科技人才培养研究,重庆大学,一般项目,工程教育强国视域下的工程教育师资队伍建设研究,朱正伟,2017
19,工程科技人才培养研究,东南大学,一般项目,基于“知识-能力-素养”协同发展的（交通运输类）工程人才创造力培养与提升模式研究,秦霞,2017
20,工程科技人才培养研究,福建工程学院,一般项目,建筑业卓越管理工程师校企合作培养模式创新与实践,陈群,2017
21,工程科技人才培养研究,广州大学,一般项目,面向“中国制造2025”的创新创业型工程技术人才培养体系研究—以工业设计专业为例,罗洁,2017
22,工程科技人才培养研究,桂林电子科技大学,一般项目,基于Web挖掘的工程硕士培养及政策支持研究,文益民,2017
23,工程科技人才培养研究,哈尔滨理工大学,一般项目,行业特色型高校新工科实践研究,刘胜辉,2017
24,工程科技人才培养研究,哈尔滨理工大学,一般项目,面向经济发展新形势的行业特色型高校产学协同培养工程技术人才的机制与路径研究,张辉,2017
25,工程科技人才培养研究,华北电力大学,一般项目,基于STEM教育理念的行业特色型高校工程人才培养改革与政策研究,白逸仙,2017
26,工程科技人才培养研究,江苏理工学院,一般项目,工程硕士专业学位研究生“实践-论文-就业-创新”四位一体培养模式的研究与实践,赵景波,2017
27,工程科技人才培养研究,聊城大学,一般项目,基于产教融合的土木工程专业创新创业人才培养模式研究,赵永生,2017
28,工程科技人才培养研究,龙岩学院,一般项目,“互联网+产教融合”培养复合型创新型人才的研究,刘国买,2017
29,工程科技人才培养研究,宁波大学,一般项目,“县校合作”协同创新下工程类应用技术人才培养实践与探索——以机械类专业为例,蒋亚南,2017
30,工程科技人才培养研究,宁波工程学院,一般项目,“工程实践教学能力”内涵及评价标准研究,王菁华,2017
31,工程科技人才培养研究,上海工程技术大学,一般项目,汽车类应用型本科工程人才创新实践教育研究,陈浩,2017
32,工程科技人才培养研究,天津大学,一般项目,面向新经济的新工科建设策略及院校行动研究,杨秋波,2017
33,工程科技人才培养研究,天津职业技术师范大学,一般项目,应用型高校工程教育教师专业能力发展研究,张蕾,2017
34,工程科技人才培养研究,同济大学,一般项目,工科学术英语论文多模态语料库建设与其在国际化工程科技人才培养中的应用研究,李玉香,2017
35,工程科技人才培养研究,西安理工大学,一般项目,基于产学研融合的工程教育师资队伍建设,李秉祥,2017
36,工程科技人才培养研究,新疆大学,一般项目,基于结构方程模型的新疆高校纺织工程专业“协同育人”影响因素的评价研究,贾丽霞,2017
37,工程科技人才培养研究,浙江财经大学,一般项目,“互联网+”创业认知能力的培养目标研究,叶伟巍,2017
38,工程科技人才培养研究,浙江大学,一般项目,工程人才创造力的系统性开发路径研究,姚威,2017
39,工程科技人才培养研究,中国矿业大学,一般项目,提升工程管理专业人才实践能力的校企互惠合作培养模式研究,王文顺,2017
