序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,教育廉政理论研究,东南大学,专项任务项目,高校党风廉政建设“两个责任”封闭机制研究,吴荣顺,2015
2,教育廉政理论研究,华北电力大学,专项任务项目,现代大学监督体系下纪检监察体制机制创新研究,李双辰,2015
3,教育廉政理论研究,中山大学,专项任务项目,“三转”形式下高校附属医院纪检监察体系的构建,国亚萍,2015
