序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,教育学,西藏大学,青年基金项目,西藏高等教育内涵式发展研究——基于人才培养特色建设的视角,孔令先,2014
2,教育学,西藏大学,青年基金项目,西藏学前教育均衡发展问题研究,姜盛祥,2014
3,经济学,西藏大学农牧学院,规划基金项目,生态安全屏障框架下西藏尼洋河流域农户生计方式转型研究,师学萍,2014
4,马克思主义/思想政治教育,拉萨师范高等专科学校,规划基金项目,边疆民族地区大学生民族团结教育实证研究——以西藏、新疆为例,范春文,2014
5,马克思主义/思想政治教育,西藏大学农牧学院,青年基金项目,西藏爱国主义教育基地思想政治教育功能实证研究,强军锋,2014
6,图书馆、情报与文献学,西藏民族学院,青年基金项目,西藏城镇化进程中的农村公共阅读服务体系研究,张若蓉,2014
7,语言学,西藏民族学院,青年基金项目,多元文化背景下少数民族大学生三语习得障碍与对策研究----以西藏地区为例,龚江平,2014
