序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,历史学,西藏大学,青年基金项目,传统典籍中《藏纪概》等八种汉文西藏方志材料研究,孔凡秋,2016
2,图书馆、情报与文献学,西藏大学,规划基金项目,藏文文献传承保护及其数字化现状研究,阿贵,2016
3,教育学,西藏大学,规划基金项目,西藏藏汉双语网络教育资源建设现状与应用情况研究,江卫华,2016
4,教育学,西藏大学,青年基金项目,进藏干部职工子女教育问题研究,邢俊利,2016
5,交叉学科/综合研究,西藏大学,青年基金项目,调试与融合——“藏漂”群体研究,孙海芳,2016
6,交叉学科/综合研究,西藏大学,青年基金项目,面向藏语拉萨语的语音声学特征提取研究,裴春宝,2016
