序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,教育廉政理论研究,中国矿业大学（北京）,专项任务项目,反腐败视角下高校校办企业国有资产监管模式研究,南锐,2016
2,教育廉政理论研究,中国传媒大学,专项任务项目,十八大以来教育系统反腐倡廉的传播效果评估与传播策略创新研究,赵晖,2016
3,教育廉政理论研究,中央财经大学,专项任务项目,法律视角下高校学术腐败行为的防治研究,彭现堂,2016
4,教育廉政理论研究,沈阳农业大学,专项任务项目,设立二级纪委背景下高校纪检监察组织监督困境的实证研究,蒋兴旺,2016
