序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,教育廉政理论研究,广西师范大学,专项任务项目,全面从严治党语境下高校廉政政策执行研究,常玉洁,2017
2,教育廉政理论研究,河海大学,专项任务项目,全面从严治党背景下高校践行党内监督执纪“四种形态”机制研究,孟新,2017
3,教育廉政理论研究,河南师范大学,专项任务项目,高校党风廉政建设问责机制研究,曲嘉,2017
4,教育廉政理论研究,青岛大学,专项任务项目,将廉洁教育课程融入高校思想政治课程的实现路径研究,张德友,2017
5,教育廉政理论研究,清华大学,专项任务项目,新形势下高校纪检监察机关自我监督机制创新研究,潘春玲,2017
