序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,语言学,西藏大学,青年基金项目,藏语语境下英语听力课程资源开发与利用研究,白玛曲珍,2015
2,艺术学,西藏大学,规划基金项目,西藏民间仪式音乐“百”研究,次珍,2015
3,社会学,西藏大学,规划基金项目,和谐社会视野下西藏高校毕业生就业创业长效机制研究,陈进,2015
4,社会学,西藏大学,青年基金项目,西藏传统文化对现代法治建设的启示,郭双节,2015
5,图书馆、情报与文献学,西藏民族学院,规划基金项目,藏族网络用户信息行为特征分析与图书馆服务策略研究,马凌云,2015
6,教育学,西藏大学,规划基金项目,西藏中等职业教育发展与对策研究,李蓉,2015
7,教育学,西藏大学,规划基金项目,藏族初中生数学语言阅读教学策略研究,巴桑卓玛,2015
8,教育学,西藏民族学院,青年基金项目,基于创新驱动发展战略的西藏高校大学生创新创业能力提升策略研究,张兆基,2015
9,统计学,西藏民族学院,青年基金项目,西藏和谐社会建设综合评价的实证研究,汪朋,2015
10,交叉学科/综合研究,西藏大学,青年基金项目,藏文文本的模式匹配研究,春燕,2015
11,交叉学科/综合研究,西藏大学,青年基金项目,治边稳藏视域下对口援藏制度的演进机制及路径优化研究,吴春宝,2015
